date,nrides,Temperature,WindSpeed,Precipitation,SnowDepth,day,weekend,LD,timept
6/1/2013,2607,71,3.8,0,0,Saturday,1,14.9,1.00
6/2/2013,4920,71,6.1,0.85,0,Sunday,1,14.93333333,2.00
6/3/2013,2478,67,3.4,0.87,0,Monday,0,14.93333333,3.00
6/4/2013,4883,53,4.9,0,0,Tuesday,0,14.95,4.00
6/5/2013,5013,54,3.9,0,0,Wednesday,0,14.98333333,5.00
6/6/2013,3872,59,5.2,0.13,0,Thursday,0,14.98333333,6.00
6/7/2013,360,60,8.4,4.16,0,Friday,0,15,7.00
6/8/2013,5514,62,3.7,0.48,0,Saturday,1,15,8.00
6/9/2013,6418,64,2.2,0,0,Sunday,1,15.03333333,9.00
6/10/2013,1176,64,5.7,1.38,0,Monday,0,15.05,10.00
6/11/2013,3707,66,6.4,0.09,0,Tuesday,0,15.05,11.00
6/12/2013,4955,60,5.3,0,0,Wednesday,0,15.06666667,12.00
6/13/2013,2344,59,6.8,1.26,0,Thursday,0,15.06666667,13.00
6/14/2013,4529,57,5.1,0.38,0,Friday,0,15.06666667,14.00
6/15/2013,7594,60,3.9,0,0,Saturday,1,15.08333333,15.00
6/16/2013,6577,63,3.8,0,0,Sunday,1,15.08333333,16.00
6/17/2013,5999,68,2.6,0.01,0,Monday,0,15.1,17.00
6/18/2013,4145,66,3.6,0.2,0,Tuesday,0,15.1,18.00
6/19/2013,7164,59,5.1,0,0,Wednesday,0,15.1,19.00
6/20/2013,8069,60,3.9,0,0,Thursday,0,15.1,20.00
6/21/2013,8287,60,5,0,0,Friday,0,15.1,21.00
6/22/2013,8719,62,4.1,0,0,Saturday,1,15.1,22.00
6/23/2013,8398,69,4.6,0,0,Sunday,1,15.1,23.00
6/24/2013,7298,72,4.2,0,0,Monday,0,15.1,24.00
6/25/2013,8381,71,3.3,0.003,0,Tuesday,0,15.08333333,25.00
6/26/2013,9022,70,3.8,0.05,0,Wednesday,0,15.08333333,26.00
6/27/2013,7380,72,4.1,0.24,0,Thursday,0,15.08333333,27.00
6/28/2013,8246,71,5.2,0.003,0,Friday,0,15.06666667,28.00
6/29/2013,8986,70,3.9,0,0,Saturday,1,15.06666667,29.00
